lat,lng,elevation
37.505542139894864,127.0380609758715,47.94
37.50473123526789,127.03806056420288,50.17
37.50392033052932,127.03806015255071,55.19
37.50310942567915,127.03805974091507,58.09
37.50229852071737,127.03805932929592,54.9
37.50148761564399,127.03805891769328,52.3
37.50067671045902,127.0380585061071,53.91
37.49986580516244,127.03805809453743,52.83
37.49905489975426,127.03805768298426,47.67
37.4982439942345,127.03805727144758,42.32
37.49743308860314,127.0380568599274,34.73
37.496622182860165,127.03805644842367,29.03
37.50554180754329,127.03907885746592,43.84
37.50473090292599,127.03907843478784,45.31
37.5039199981971,127.03907801212672,51.03
37.5031090933566,127.0390775894825,54.06
37.502298188404495,127.03907716685524,51.83
37.5014872833408,127.03907674424494,52.06
37.5006763781655,127.03907632165156,53.77
37.49986547287861,127.03907589907509,53.66
37.4990545674801,127.03907547651558,50.39
37.49824366197001,127.039075053973,45.32
37.49743275634832,127.03907463144732,37.21
37.49662185061504,127.0390742089386,29.9
37.505541466420766,127.04009673904336,40.94
37.5047305618134,127.04009630535587,41.36
37.50391965709445,127.04009587168576,46.3
37.50310875226388,127.04009543803302,48.55
37.50229784732171,127.04009500439764,48.59
37.501486942267945,127.04009457077964,49.38
37.50067603710258,127.04009413717904,50.17
37.49986513182561,127.04009370359582,49.85
37.499054226437046,127.04009327002991,48.13
37.49824332093688,127.04009283648143,44.58
37.49743241532513,127.04009240295036,36.27
37.496621509601766,127.0400919694366,28.88
37.5055411165273,127.04111462060344,40.58
37.50473021193013,127.04111417590651,37.89
37.50391930722136,127.0411137312274,41.13
37.50310840240098,127.04111328656612,43.42
37.50229749746901,127.04111284192264,44.02
37.50148659242542,127.041112397297,44.06
37.500675687270245,127.04111195268916,45.15
37.49986478200347,127.04111150809914,45.04
37.49905387662509,127.04111106352696,42.58
37.49824297113512,127.04111061897255,39.68
37.497432065533545,127.04111017443596,32.79
37.49662115982037,127.04110972991722,27.41
37.50554075786292,127.0421325021457,40.5
37.504729853276174,127.04213204643936,35.39
37.50391894857786,127.04213159075124,36.06
37.50310804376792,127.04213113508143,37.46
37.50229713884638,127.04213067942985,37.83
37.501486233813246,127.04213022379652,37.64
37.50067532866851,127.04212976818148,39.83
37.49986442341218,127.04212931258466,41.02
37.49905351804424,127.0421288570061,39.65
37.49824261256471,127.04212840144582,36.82
37.49743170697357,127.0421279459038,31.72
37.49662080127084,127.04212749038004,28.77
37.505540390427576,127.0431503836697,37.28
37.50472948585154,127.04314991695392,32.36
37.50391858116392,127.04314945025683,29.69
37.50310767636468,127.04314898357846,30.36
37.50229677145384,127.04314851691878,31.68
37.50148586643141,127.0431480502778,33.44
37.50067496129736,127.04314758365553,35.25
37.49986405605173,127.04314711705192,37.49
37.4990531506945,127.04314665046704,38.61
37.49824224522565,127.04314618390084,37.13
37.497431339645225,127.04314571735335,32.96
37.49662043395319,127.04314525082458,31.08
