,YYMMDDHHMI,STN,RN_HR1,RN_15M_MAX,RN_DAY
149,202208082100,323,0.5,0.5,83.5
150,202208082100,324,1.0,0.5,2.5
151,202208082100,325,3.0,1.5,28.0
152,202208082100,326,4.5,2.5,81.0
153,202208082100,327,0.0,0.0,2.5
154,202208082100,328,0.0,0.0,0.0
155,202208082100,329,0.0,0.0,0.0
156,202208082100,330,0.0,0.0,0.0
157,202208082100,349,5.5,5.5,53.0
158,202208082100,350,8.5,4.5,42.0
159,202208082100,351,-99.0,-99.0,-99.0
160,202208082100,352,0.0,0.0,154.5
161,202208082100,353,0.0,0.0,151.5
162,202208082100,355,0.0,0.0,19.5
163,202208082100,356,0.0,0.0,8.0
164,202208082100,358,0.0,0.0,3.5
165,202208082100,359,0.0,0.0,156.0
166,202208082100,360,0.0,0.0,172.0
167,202208082100,361,0.0,1.0,106.0
168,202208082100,364,6.5,5.5,89.5
169,202208082100,365,-99.0,-99.0,-99.0
170,202208082100,366,-99.0,-99.0,-99.0
171,202208082100,367,5.0,5.0,61.0
172,202208082100,368,7.5,6.0,94.5
173,202208082100,369,2.0,1.0,58.5
174,202208082100,370,1.5,1.0,43.0
175,202208082100,371,-99.0,-99.0,-99.0
176,202208082100,372,0.0,0.0,144.5
177,202208082100,373,0.0,0.0,159.5
178,202208082100,374,0.0,0.0,7.5
179,202208082100,375,0.0,0.0,159.5
180,202208082100,376,-99.0,-99.0,-99.0
181,202208082100,377,2.5,2.0,61.5
182,202208082100,379,0.0,0.0,0.0
183,202208082100,400,75.5,33.0,155.0
184,202208082100,401,92.0,27.0,184.5
185,202208082100,402,42.0,23.0,120.0
186,202208082100,403,85.5,33.5,181.5
187,202208082100,404,3.5,3.5,86.5
188,202208082100,405,49.5,26.5,171.0
189,202208082100,406,0.0,0.0,111.0
190,202208082100,407,1.0,0.5,97.5
191,202208082100,408,6.5,6.0,102.5
192,202208082100,409,11.0,10.0,106.0
193,202208082100,410,136.5,42.5,288.0
194,202208082100,411,16.5,11.0,113.0
195,202208082100,412,1.5,1.0,81.5
196,202208082100,413,48.5,20.0,139.0
197,202208082100,414,1.0,0.5,97.0
